tweet_id,text,human_intent,top1_similarity,top1_intent,top1_reply,retrieved_intent_rank,recall_at_1,recall_at_3,recall_at_5,historically_grounded,judge_relevance,judge_helpfulness,judge_groundedness,judge_overall,judge_reason,failure_mode,failure_explanation
2371264,@AppleSupport fishing email https://t.co/68EnW15RpI,payments_purchases,0.7069767013448478,apps_services,@575940 Our website here has info on what you should do with this message: https://t.co/LNMCdqt6fD DM us if you have any questions. https://t.co/GDrqU22YpT,,0,0,0,True,5,4,5,4,Directly points to phishing-email guidance matching the reported issue.,No major failure,The response did not trigger a major failure criterion.
652789,@AppleSupport I already did that. I also did the force restart and the same thing happened,payments_purchases,0.476691649497233,other,@373122 Great!  Can you tell us what watchOS version and iOS version you're on via DM? https://t.co/GDrqU22YpT,,0,0,0,True,2,2,4,2,No prior context available; reply's clarifying question is generic and doesn't address a specific issue.,Wrong historical example causing irrelevance,The retrieved example belongs to another intent and the resulting response is not relevant.
998993,@AppleSupport - this is driving me (and clearly some other people) crazy... Any advice?! https://t.co/sIVD9FQ4bZ https://t.co/Bp4A5cyQkl,other,0.326531443748752,other,@546084  We're happy to help. Use this to identify and report phishing emails: https://t.co/LNMCdqt6fD Questions? DM us here: https://t.co/GDrqU22YpT,1.0,1,1,1,True,2,2,3,2,Message is vague; reply guesses at phishing without clear evidence from the message.,Irrelevant response,The response does not adequately address the customer's issue.
1963164,"I keep getting the ""This accessory may not be supported"" message. What is going on @AppleSupport",hardware_accessories,0.5099261149830494,hardware_accessories,"@450999 Reliable power is important. Check out the article below for some tips (check that port for dust or debris).
https://t.co/uqxquyfdn0",1.0,1,1,1,True,5,4,4,4,Reply's power/port advice directly matches the accessory-not-supported message.,No major failure,The response did not trigger a major failure criterion.
2305481,"@AppleSupport Also why does everytime I️ take a Photo it says “Live” and when looking back at it shows a short little movie and isn’t an actual photo, I’ve checked the settings and it shows nothing about any ‘Live’ to ‘Photos’ type of features or options?",apps_services,0.1701037308139663,ios_update,@525420 Let's meet in DM so we can get some specific information about your iPhone. https://t.co/GDrqU22YpT,3.0,0,1,1,True,2,2,4,2,Reply is a generic request to DM without engaging with the specific Live Photo issue described.,Wrong historical example causing irrelevance,The retrieved example belongs to another intent and the resulting response is not relevant.
619432,"@266993 @266994 @AppleSupport I wish I had $1 for every twitter user who has posted about their battery issues, I’d be a rich woman",battery_power,0.2020265580113214,ios_update,@489388 Great battery life is important. Let's pair up in DM to get a closer look at what's happening. https://t.co/GDrqU22YpT,,0,0,0,True,2,2,3,2,"Message is a general/joking comment, not a personal support request; reply misreads it as one.",Wrong historical example causing irrelevance,The retrieved example belongs to another intent and the resulting response is not relevant.
2193378,@AppleSupport Update the software to fix the problem everyone is having with: I️,ios_update,0.6285565926609292,device_performance,@595948 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,4.0,0,0,1,True,5,4,4,4,Workaround link matches the well-known autocorrect 'I' bug referenced in the message.,No major failure,The response did not trigger a major failure criterion.
521348,@AppleSupport Hey my iphone x drops bluetooth connectivity in my car 4-5x per song. My iphone 5s never had a problem. Any help?,connectivity,0.2287934906281678,other,@278732 What's happening when you try to use the screen recording feature? Please DM use at the link below. https://t.co/GDrqU22YpT,,0,0,0,True,1,1,2,1,"Reply asks about screen recording, unrelated to the Bluetooth car connectivity issue described.",Wrong historical example causing irrelevance,The retrieved example belongs to another intent and the resulting response is not relevant.
1327360,"Having consistent problem with AirPods dropping sound after ~3-5mins of use on laptop. BT still connected, computer still outputting sound -- but AirPods go silent. 

Anyone have this issue? 
Any suggestions @AppleSupport?  
I've reset connection several times.",connectivity,0.2208585223392644,other,@278732 Are you trying to capture sound of you talking or sound that is playing from the app you're recording? Please DM us at the link below. https://t.co/GDrqU22YpT,2.0,0,1,1,True,1,1,2,1,"Reply asks about screen recording, unrelated to the AirPods Bluetooth audio dropout issue.",Wrong historical example causing irrelevance,The retrieved example belongs to another intent and the resulting response is not relevant.
2710940,@AppleSupport Nice fix. Thanks!,other,0.6044712617149894,other,@454867 You're most welcome!,1.0,1,1,1,True,5,5,5,5,Reply appropriately closes out a simple thanks message.,No major failure,The response did not trigger a major failure criterion.
301132,"@AppleSupport @115858 #iMessages became unstable, iMessages just don’t go through in first attempt. And it’s happening frequently after recent update 11.0.2",other,0.2037345078941839,ios_update,@167380 Thank you. We'd like to take a closer look at this issue. Please DM us and we'll continue there. https://t.co/GDrqU22YpT,4.0,0,0,1,True,4,3,4,3,"Acknowledges the iMessage issue and offers to continue in DM, but gives no concrete step yet.",Low retrieval confidence,The best historical match has low similarity to the customer message.
522968,@AppleSupport why when I lock my phone maps does not continue giving me directions,apps_services,0.2743372020788803,ios_update,"@389133 That's no good, let's get it fixed so you can rock on. Send us a DM to get started.",,0,0,0,True,3,2,4,3,Generic acknowledgment of the Maps issue without addressing specifics.,Generic or insufficient response,The response is related but provides limited actionable assistance.
1468299,"@applesupport I tried celullar data network in iPhone, but can’t solved the problem. My ID is __email__, can you help me?",connectivity,0.2796900082261195,device_performance,@481035 You're welcome!,,0,0,0,True,1,1,2,1,"Reply assumes the issue is resolved with 'You're welcome', but the message is a help request.",Wrong historical example causing irrelevance,The retrieved example belongs to another intent and the resulting response is not relevant.
796536,iOS 11 kills battery do something @115858 @AppleSupport,battery_power,0.4819776883408059,other,@461360 We'll help out. Let's start with the instructions here to try to resolve that No SIM message. https://t.co/UTP2qBi1Is,,0,0,0,True,1,1,1,1,"Reply addresses a 'No SIM' message, unrelated to the battery drain complaint.",Wrong historical example causing irrelevance,The retrieved example belongs to another intent and the resulting response is not relevant.
2746104,Can't sign in to iCloud lost all contacts on my phone. Not can I access my mail. Will not work on phone but works on iPad #icloud @115858 @AppleSupport #sos,account_activation,0.2622689194765515,other,"@349676 Thanks for reaching out. We would love to help. When you have a free moment, please tell us when you first encountered this issue.",2.0,0,1,1,True,3,2,4,3,"Generic on-topic follow-up question about a login/sync issue, no direct fix offered.",Generic or insufficient response,The response is related but provides limited actionable assistance.
1535045,Been trying for 30 minutes and keep gettin this could not activate iPhone error can you guys get it together? @AppleSupport @117735 https://t.co/VLn7QAZgtS,account_activation,0.4178947736322658,account_activation,@477766 Let's work on this together. Reach out to us in a DM to get started. https://t.co/GDrqU22YpT,1.0,1,1,1,True,4,3,4,3,"On-topic acknowledgment of the activation error, defers troubleshooting to DM.",No major failure,The response did not trigger a major failure criterion.
2922718,@AppleSupport why with the update high sierra my macbook pro turn on the keyboard lights (when this start) and ios 11.1.2 turn on the bluethooth (when the device is restarted) 🧐?,keyboard_input,0.2762387572065569,keyboard_input,"@536179 Thanks for reaching out. If you're on iOS 11.1, try this: https://t.co/xU1AGHStV6 Questions? Feel free to send us a DM. https://t.co/GDrqU22YpT",1.0,1,1,1,True,3,3,3,3,Partially addresses the update-related behavior change but doesn't cover the keyboard-light detail.,No major failure,The response did not trigger a major failure criterion.
