tweet_id,text,final_intent
2371264,@AppleSupport fishing email https\://t.co/68EnW15RpI,other
652789,@AppleSupport I already did that. I also did the force restart and the same thing happened,other
998993,@AppleSupport - this is driving me (and clearly some other people) crazy... Any advice?! https\://t.co/sIVD9FQ4bZ https\://t.co/Bp4A5cyQkl,other
1963164,I keep getting the "This accessory may not be supported" message. What is going on @AppleSupport,hardware\_accessories
2305481,"@AppleSupport Also why does everytime I️ take a Photo it says “Live” and when looking back at it shows a short little movie and isn’t an actual photo, I’ve checked the settings and it shows nothing about any ‘Live’ to ‘Photos’ type of features or options?",apps\_services
619432,"@266993 @266994 @AppleSupport I wish I had $1 for every twitter user who has posted about their battery issues, I’d be a rich woman",battery\_power
2193378,@AppleSupport Update the software to fix the problem everyone is having with: I️,keyboard\_input
521348,@AppleSupport Hey my iphone x drops bluetooth connectivity in my car 4-5x per song. My iphone 5s never had a problem. Any help?,connectivity
1327360,"Having consistent problem with AirPods dropping sound after \~3-5mins of use on laptop. BT still connected, computer still outputting sound -- but AirPods go silent. Anyone have this issue? Any suggestions @AppleSupport? I've reset connection several times.",connectivity
2710940,@AppleSupport Nice fix. Thanks!,other
301132,"@AppleSupport @115858 #iMessages became unstable, iMessages just don’t go through in first attempt. And it’s happening frequently after recent update 11.0.2",apps\_services
522968,@AppleSupport why when I lock my phone maps does not continue giving me directions,apps\_services
1468299,"@applesupport I tried celullar data network in iPhone, but can’t solved the problem. My ID is \_\_email\_\_, can you help me?",connectivity
796536,iOS 11 kills battery do something @115858 @AppleSupport,battery\_power
2746104,Can't sign in to iCloud lost all contacts on my phone. Not can I access my mail. Will not work on phone but works on iPad #icloud @115858 @AppleSupport #sos,account\_activation
1535045,Been trying for 30 minutes and keep gettin this could not activate iPhone error can you guys get it together? @AppleSupport @117735 https\://t.co/VLn7QAZgtS,account\_activation
2922718,@AppleSupport why with the update high sierra my macbook pro turn on the keyboard lights (when this start) and ios 11.1.2 turn on the bluethooth (when the device is restarted) 🧐?,ios\_update
806476,"@AppleSupport I haven’t, I’ve only tried my own Apple headphones.",hardware\_accessories
1149988,@AppleSupport It started yesterday when I was trying to back up my phone &amp; transfer to my new phone. Apple store recommended I go to my provider and,apps\_services
322054,@AppleSupport y’all needa fix ios 11 it’s messing up everyone’s phone. 🙃🙃,ios\_update
1760465,@AppleSupport I have your apple smart battery case... what does AID UPS mean? https\://t.co/UovYhXCeOm,battery\_power
1581392,@AppleSupport I’m still getting it,other
941450,@AppleSupport When I take a video on my iPh6 the audio on playback is just a hiss.,music\_media
1020325,"@AppleSupport Every time I have an app open, it’ll exit out of the app within like 90 seconds",device\_performance
